Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
43912,BRUSHY MOUNTAIN FIRE,5,B,Missing/Undefined,36.47345,-79.97471667,NC,4/4/11,4/4/11,Apr,4/4/11 15:15,4/4/11 16:20,0 days 00:00:00.000000000,3/5/11,2011,Mar,745985,18105.33619,99999,2006,2020,0,0.1,745985-63806-2011.gz,10.36658824,10.1952381,6.875527426,0,1.846352941,1.850380952,1.479324895,0,59.81689273,59.99104859,61.8172043,0,0,0,0,0,0.115123451
43915,BAD DAY,2,B,Debris Burning,35.78266667,-79.70456667,NC,11/7/12,11/7/12,Nov,11/7/12 18:13,11/7/12 19:16,0 days 00:00:00.000000000,10/8/12,2012,Oct,720968,20132.70653,340,2010,2019,15,0.1,720968-00340-2012.gz,11.15362998,10.16198502,6.55489022,0,1.636440281,2.061797753,1.571656687,0,72.33150384,70.09611452,68.41078838,0,0,0,0,0,0.113145197
43933,,15,C,Debris Burning,34.465,-78.4083,NC,4/6/94,,Apr,,,,3/7/94,1994,Mar,723013,51611.23583,13748,1973,2005,16,1,723013-13748-1994.gz,14.965,16.34861111,14.13154762,19.32111111,4.250972222,4.221944444,3.106547619,4.207638889,68.64759036,73.35202492,67.83333333,71.04867257,0,0,0,0,0.102567306
43939,,1,B,Children,36.355,-76.915,NC,2/6/93,,Feb,,,,1/7/93,1993,Jan,723079,23840.70464,93796,1976,2005,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.088361972
43947,REST HOME FIRE,0.8,B,Debris Burning,35.614,-79.34398333,NC,4/7/10,4/7/10,Apr,4/7/10 14:30,4/7/10 15:30,0 days 00:00:00.000000000,3/8/10,2010,Mar,722201,22268.80666,99999,2006,2020,15,0.1,722201-03723-2010.gz,13.76587854,15.36211699,18.45328032,0,1.857116365,2.017641597,1.07833002,0,60.78567335,60.11326861,55.90719258,0,0,0,0,0,0.110070911
43950,PUTTING WATER ON IT,5,B,Arson,34.95555,-79.7312,NC,7/7/12,7/7/12,Jul,7/7/12 19:07,7/7/12 21:20,0 days 00:00:00.000000000,6/7/12,2012,Jun,722043,7733.565073,99999,2006,2020,16,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.113885201
43965,,2,B,Miscellaneous,35.3317,-82.355,NC,3/8/94,,Mar,,,,2/6/94,1994,Feb,723148,86574.37147,63859,1973,2010,15,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13689721
43968,TOM,75,C,Arson,34.8,-78.2333,NC,3/10/00,,Mar,,,,2/9/00,2000,Feb,722073,22890.55446,3727,1948,2020,16,1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.100820301
43973,,10,C,Debris Burning,35.5917,-79.8583,NC,3/19/95,,Mar,,,,2/17/95,1995,Feb,722148,32803.31496,99999,1976,2005,15,1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.114614934
43980,SANDHILL,10,C,Debris Burning,34.9383,-78.8517,NC,3/12/99,,Mar,,,,2/10/99,1999,Feb,723035,5723.974551,99999,1937,2020,16,1,723035-99999-1999.gz,7.638554217,7.289256198,5.577380952,14.6126943,4.095314592,4.129201102,3.842857143,4.007512953,55.08534851,52.82647059,45.76712329,60.17629179,46.9,20.4,7.7,72.5,0.106158029
